spindle_speed,feed_rate,depth_of_cut,tool_wear,vibration_rms,temperature,coolant_flow,defect
1926,352,1.6,0.454,0.57,69.4,3.5,0
1660,329,1.94,0.53,0.814,61.7,4.1,0
1930,106,1.39,0.018,0.616,96.9,2.5,0
1895,273,1.48,0.797,0.91,61.2,4.0,1
1844,240,1.83,0.294,0.798,71.4,6.1,0
921,267,0.67,0.912,0.674,77.3,2.4,1
1266,269,1.07,0.968,0.96,72.3,3.2,1
1130,492,1.86,0.185,0.81,74.3,4.3,0
887,382,1.58,0.462,0.625,80.8,7.9,0
1923,221,1.33,0.001,0.823,51.1,6.7,0
1671,293,2.33,0.598,0.537,62.3,6.4,0
930,104,2.23,0.607,0.631,75.4,2.7,0
1569,128,0.92,0.248,0.745,71.0,6.7,0
1143,264,2.7,0.558,0.892,76.3,6.7,0
1605,438,1.74,0.226,1.023,77.3,5.6,0
1185,235,2.35,0.161,0.501,53.8,7.9,0
1755,464,1.93,0.652,0.617,87.7,4.0,0
1076,420,2.99,0.326,0.666,70.0,7.6,0
1984,441,2.38,0.59,0.827,66.3,7.5,0
1259,244,2.27,0.433,0.66,77.1,2.1,0
821,426,2.45,0.984,0.804,76.1,4.7,1
1052,316,0.86,0.15,0.596,87.0,7.9,0
1547,400,1.01,0.465,0.648,77.7,2.6,0
1656,231,2.29,0.68,0.535,86.6,5.3,0
1274,391,1.73,0.396,0.64,65.6,7.9,0
1882,169,2.39,0.975,0.55,76.4,5.3,1
1310,351,0.76,0.722,0.598,63.9,3.1,0
1499,374,1.84,0.657,0.55,76.0,5.5,0
1775,463,1.45,0.757,0.743,73.9,3.2,1
989,281,1.64,0.953,0.713,73.4,5.1,0
1757,266,2.01,0.908,0.506,73.5,2.4,0
1486,190,1.76,0.724,0.894,82.4,5.6,0
1757,301,1.85,0.749,0.785,58.9,5.1,1
1362,445,1.72,0.146,1.149,66.0,6.4,0
1631,118,1.52,0.103,0.61,74.6,5.8,0
1954,138,2.43,0.571,0.577,63.2,5.3,0
1446,225,0.53,0.018,0.803,75.5,6.1,0
820,272,2.0,0.482,0.539,74.5,2.9,0
1640,240,1.91,0.21,0.681,61.0,5.6,0
966,341,2.29,0.346,0.523,60.5,3.0,0
1187,319,2.0,0.776,0.828,48.8,7.6,1
1400,225,2.57,0.941,0.673,62.8,2.4,0
1115,157,2.9,0.072,1.23,75.1,4.6,1
813,247,1.36,0.534,0.556,76.6,6.2,0
1041,416,1.07,0.883,0.571,77.0,4.7,1
1576,482,1.56,0.083,0.505,67.2,2.6,0
1364,460,1.22,0.825,0.683,74.8,5.3,1
1697,100,2.04,0.358,0.858,79.0,5.8,0
891,486,2.78,0.322,0.873,62.3,6.2,0
1755,447,0.85,0.977,1.161,76.2,4.2,1
1308,289,0.75,0.201,0.739,81.6,5.4,0
1575,290,1.14,0.693,0.543,70.1,4.7,0
834,468,2.32,0.821,0.785,85.6,6.0,1
1005,411,1.98,0.041,0.51,70.3,5.5,0
1904,216,0.76,0.67,0.705,66.4,5.2,0
1825,233,2.8,0.952,0.713,80.6,3.5,0
1821,157,2.48,0.124,0.563,95.3,2.0,0
1365,143,0.56,0.896,0.535,75.9,3.0,1
1929,272,2.13,0.595,0.508,81.3,2.7,0
1502,259,2.43,0.617,0.672,69.9,4.7,0
1201,272,1.44,0.613,0.593,62.6,5.7,0
1529,416,0.67,0.299,0.706,76.7,3.3,0
961,402,0.69,0.935,0.522,78.2,7.6,0
1001,248,0.76,0.947,0.82,71.4,2.0,0
1795,179,2.6,0.625,0.511,81.3,6.6,0
1069,473,2.78,0.783,0.805,68.5,5.8,0
1615,312,0.81,0.612,0.512,66.0,4.2,0
1255,302,1.09,0.484,0.749,85.6,2.3,0
1816,351,0.91,0.661,0.822,85.7,5.8,0
1095,328,0.97,0.553,0.609,68.7,4.3,0
1519,263,2.59,0.597,0.749,92.2,7.6,0
1137,326,1.33,0.784,0.561,72.1,5.3,0
1678,246,1.28,0.481,0.758,75.8,7.6,0
1876,119,1.07,0.041,1.139,74.2,3.3,0
1591,146,2.02,0.164,0.834,80.2,6.4,0
1016,332,1.45,0.439,0.611,77.7,5.7,0
1563,404,2.36,0.725,0.595,77.6,6.4,0
987,113,1.01,0.593,0.55,64.8,3.3,0
1179,242,2.47,0.65,0.514,58.1,6.0,0
1292,100,2.01,0.479,1.113,86.4,5.0,0
1864,472,0.79,0.616,0.864,69.5,6.5,0
1980,153,1.54,0.329,0.841,74.5,4.0,0
814,473,2.66,0.47,0.605,78.3,7.3,0
864,358,2.81,0.744,0.665,91.3,2.5,0
1320,243,1.66,0.872,1.139,76.6,6.8,1
1952,111,1.7,0.434,0.707,71.1,7.2,0
1447,429,2.8,0.044,0.612,69.8,6.9,0
1886,323,1.97,0.162,0.98,74.6,5.1,0
1962,371,0.58,0.021,0.837,65.9,4.6,0
1392,457,2.78,0.653,0.74,75.3,8.0,0
1191,255,1.12,0.332,0.588,74.5,3.4,0
1218,472,1.94,0.542,1.015,91.4,5.3,0
1088,107,0.91,0.493,0.662,74.2,6.0,0
1178,221,0.58,0.082,0.594,55.8,6.2,0
1030,447,1.28,0.403,0.681,101.7,3.2,0
1817,263,2.45,0.221,0.582,84.6,5.9,0
840,189,1.19,0.418,0.504,95.8,6.9,0
1851,235,1.05,0.204,0.661,63.4,2.3,0
934,285,1.03,0.84,0.627,72.8,7.5,0
1000,415,1.79,0.174,0.782,81.7,2.2,0
1579,277,2.94,0.961,0.943,80.4,4.1,1
1729,127,1.65,0.416,0.649,78.1,2.1,0
1856,319,1.89,0.846,0.698,53.0,2.5,1
1871,456,2.65,0.629,0.931,57.9,7.5,1
1302,140,1.84,0.735,0.549,90.2,4.1,1
1206,327,0.96,0.768,0.757,92.0,4.5,1
1604,291,1.25,0.505,0.554,73.9,3.3,0
898,244,1.27,0.543,0.805,88.9,5.6,0
1483,300,1.49,0.514,0.562,64.8,5.6,0
1525,311,1.57,0.588,0.862,67.1,4.2,0
1760,319,2.5,0.029,0.679,64.0,4.0,0
1412,339,1.37,0.396,0.731,66.5,7.3,0
1442,496,1.67,0.606,0.607,82.2,4.3,0
1828,145,2.06,0.598,0.683,66.4,5.0,0
1302,134,1.44,0.793,0.574,97.4,3.7,1
1566,352,2.59,0.655,0.559,79.6,6.7,0
1197,489,1.97,0.992,0.888,85.8,4.4,1
1670,181,1.24,0.284,0.823,79.9,5.1,0
1594,470,2.29,0.359,0.728,87.1,3.5,0
1192,355,1.82,0.384,0.675,66.3,7.9,0
1006,296,1.84,0.466,0.963,89.5,3.7,0
1838,402,1.7,0.836,0.784,76.4,6.6,0
1691,109,1.74,0.236,0.706,87.1,4.6,0
1663,411,2.41,0.776,1.164,60.6,3.2,1
1542,385,0.76,0.405,0.859,76.8,6.8,0
1363,341,1.34,0.602,0.525,76.5,4.0,0
1820,350,0.69,0.633,0.594,68.8,7.2,0
895,464,2.38,0.373,0.596,78.1,7.5,0
1284,104,1.18,0.513,0.732,90.4,7.2,0
1030,218,2.74,0.413,0.837,68.0,2.2,0
1548,388,1.82,0.069,0.69,84.6,6.7,0
1994,473,2.5,0.437,0.643,63.7,4.5,0
1340,164,2.95,0.097,0.569,96.1,7.2,0
1859,245,2.6,0.405,1.505,82.8,5.8,0
1324,323,2.67,0.593,0.586,92.3,7.0,0
1983,338,1.52,0.579,0.782,81.7,5.0,0
1909,276,1.88,0.663,0.863,78.9,5.2,0
1377,366,1.13,0.095,0.686,82.9,2.9,0
1481,440,0.99,0.652,0.637,73.6,6.7,0
1356,381,1.76,0.312,0.607,58.8,4.5,0
1812,162,1.99,0.399,0.618,79.5,5.0,0
1445,316,1.35,0.858,0.624,67.4,6.7,1
1595,441,1.92,0.009,0.933,64.0,5.6,0
1851,414,2.72,0.588,0.998,81.4,3.2,1
989,382,1.89,0.599,0.509,72.2,5.5,0
1432,276,2.3,0.397,0.823,85.3,4.4,0
1427,197,2.51,0.237,0.661,67.1,4.8,0
1772,204,2.97,0.235,0.591,70.3,2.2,0
1509,198,2.01,0.884,0.72,86.5,3.3,0
1448,484,2.52,0.442,0.798,77.8,3.7,0
1117,410,2.91,0.331,0.506,60.2,6.3,0
1483,105,2.86,0.449,0.7,77.6,2.1,0
1463,296,0.85,0.669,0.982,89.8,4.5,1
1936,450,1.52,0.146,0.969,70.2,7.5,0
1241,232,1.31,0.449,0.798,81.0,2.7,0
1363,457,0.72,0.588,0.616,66.5,5.1,0
1936,358,2.08,0.949,0.82,73.6,6.7,1
1751,122,2.34,0.253,0.754,85.9,7.7,0
1904,152,2.62,0.359,0.524,77.2,6.5,0
1498,264,0.81,0.379,0.892,87.9,6.3,0
912,301,2.69,0.606,0.771,79.3,7.0,0
801,182,2.11,0.357,0.591,97.2,4.7,0
1441,244,2.26,0.534,0.763,59.4,6.8,0
1019,184,2.78,0.782,0.735,72.8,2.0,0
1654,177,2.06,0.705,0.675,64.2,7.5,1
1184,465,1.34,0.446,0.551,64.8,4.7,0
1953,100,2.56,0.864,0.685,64.9,5.3,0
1876,150,1.41,0.558,0.709,76.7,3.5,0
1529,272,0.59,0.54,0.772,77.3,6.5,0
1046,304,2.58,0.034,0.817,79.3,2.5,0
1635,359,1.36,0.987,0.637,63.8,7.2,1
1002,468,2.43,0.123,0.825,71.8,7.0,0
922,387,1.41,0.231,0.898,65.4,3.3,0
1200,133,2.65,0.052,0.505,84.4,6.9,0
1566,447,1.05,0.64,0.755,66.3,6.7,0
1093,194,2.94,0.225,0.763,72.9,5.8,0
1079,171,2.45,0.18,0.607,80.6,4.2,0
1683,138,0.79,0.089,0.515,68.8,3.6,0
997,253,1.91,0.103,0.654,81.9,3.4,0
1781,349,2.96,0.585,0.757,91.0,3.9,0
